	Narracja
314	W zrujnowanej podziemnej bibliotece Altdorfu, wśród przewróconych regałów, rozsypanych zwojów i wirujących w powietrzu luźnych kartek, stoi wychudzony mag o bladej skórze i krótkim postrzępionym czerwonym irokezie, z nagim torsem, prostymi bransoletami i pasami materiału wokół talii. Jedną ręką unosi otwartą księgę, drugą rozrzuca kartki — gorączkowo wydobywa z ruin zapomniane zaklęcia, a na jednej ze stron migocze świecący ogień czerwonej runy. W powietrzu wokół niego tańczą wyrwane fragmenty pism tworzące spirale — chaos nie jest dla niego przeszkodą, tylko paliwem. W Starym Świecie rewolucjoniści z Jasnego Kolegium nie odbudowują archiwum po inwazji Chaosu — grzebią w nim po swojemu, wyciągając tylko to, co pozwoli im spalić ten sam system następnego wieczoru.
315	Wąska miejska ulica na Ravnicy zamieniona w zalany kanał po awarii infrastruktury — poziom brudnawej wody sięga kolan, niesie luźne kartki, księgi, deski i skrzynki. W centrum kadru starszy uczony w ciężkim bordowym płaszczu brodzi przez wodę, przyciskając do piersi kilka ksiąg, obok niego młodsza osoba niesie wysoko stos książek, a w tle kolejna postać wynosi ocalałe przedmioty po schodach. Z pękniętego kanału wypływa stały strumień wody, rozmywając zapiski i formuły magiczne. Na Ravnicy gildia Dimir wie, że każda powódź jest okazją — to, co nie zdążyło zostać uratowane, trafi do archiwum, którego miasto oficjalnie nie zna, a magowie umysłu od dawna nauczyli się, że woda zapomina szybciej niż człowiek.
316	Na jesiennej leśnej polanie Otarii, wśród pomarańczowych i złotych liści, stoi dziwna koszmarna jaszczurka o płazio-gadnim ciele i intensywnie niebieskiej wilgotnej skórze, z falującymi wyrostkami czułkowatymi na głowie. Zwierzę nie atakuje — przed nim w powietrzu widać zniekształcenie przestrzeni w kształcie ciemnoniebieskiej falującej szczeliny, która wciąga fragment leśnej polany: kawałek ziemi z trawą, kamieniami, drobnym krzewem. W szczelinie kontur wchłanianego terenu migocze jak złożony na pół papier, znikając w pysku jaszczurki. W czasach Sądu na Otarii niektóre koszmary nie karmią się ciałem — karmią się miejscem, a gdy Wormfang skończy polowanie, kawałek twojego świata po prostu nie istnieje już tam, gdzie był rano.
317	We wnętrzu drewnianej dzwonnicy gotyckiej wioski na Innistradzie dorosły mężczyzna w ciemnym kaftanie szarpie grubą linę wielkiego żelaznego dzwonu — ciało pochylone do tyłu od wysiłku, ręce wysoko, lina napięta, sam dzwon wychylony w pełnym ruchu. Obok przy balustradzie drugi mieszkaniec z pochodnią wychyla się na zewnątrz, wskazując w mrok poza wioską. Przez otwory dzwonnicy widać dachy domów, mglisty zmierzch i nikłe światła w oknach — a na placu poniżej małe sylwetki mieszkańców zaczynają wychodzić z domów, odwracając się w stronę alarmu. W Gavony dzwon nie woła do modlitwy — woła do broni, a kto znajdzie w sobie siłę, by go uderzyć jeszcze raz, ocali jeszcze jeden próg pod dzisiejszym świtem.
318	Masywna miejska brama w Baldur's Gate, zbudowana z jasnego kamienia w stylu poświęconym Gondowi — bogowi wynalazków i rzemiosła — z wysokim łukiem przejazdowym i ciężkimi podwójnymi wrotami częściowo otwartymi. Nad łukiem i po bokach widoczne złożone mechaniczne detale: koła zębate, przeciwwagi, metalowe pierścienie, dźwignie, ozdobne panele techniczne i symbole Gonda wkomponowane w kamień. Przez mur biegną przewody, rury i cięgna poruszające mechanizmem otwarcia wrót, a przy filarach stoją wnęki na lampy i tablice ogłoszeń. W Faerûnie nie każde miasto potrafi zbudować bramę, która sama się otwiera — Gond Gate działa na zasadach, których nie rozumie nawet każdy rzemieślnik cechu, a wrota otwierają się tylko dla tych, których mechanizm uzna za godnych.
319	Na górskiej przełęczy w świecie Final Fantasy VII, między stromymi poszarpanymi skałami, biegnie zielony górski chocobo — duży ptak o intensywnie zielonych piórach, żółtym dziobie i pomarańczowo-brązowych nogach, z pióropuszem sterczącym do tyłu od pędu. Uchwycony w dynamicznym skoku z jednego skalnego stopnia na drugi, pod łapami wzbija drobny żwir i kurz. Po lewej stronie kadru widać dłonie podróżnika w skórzanych rękawicach trzymające rozwiniętą mapę z narysowaną ścieżką górską i notatkami Chocobo Sage'a. Górski chocobo nie idzie tam, gdzie idzie zwykły transport — znajdzie drogę przez kanion, której żadna karawana by nie zauważyła, a Cloud i drużyna nauczą się, że niektóre skarby Północnego Krateru czekają tylko na tego, kto wie, jak zagwizdać.
320	Na kościanych wydmach Kederekt w Grixis Infectious Horror unosi się nad polem, gdzie armie Sedrisa Zdrajcy Króla starły się z demonami Malfegora. Trzy owalne głowy otwierają wąskie szczeliny, a z ich wnętrza wypływa zielonkawa para, która odbiera siły każdemu żywemu w zasięgu. Nekromanci z Vithii cofają się, bo nawet ich ożywieni słudzy słabną, gdy horror przechodzi, zostawiając za sobą jedynie suchy pył. W Grixis, gdzie nikt nie umiera ze starości, ten atak przypomina wszystkim, że życie jest tylko walutą dla nieumarłych.
321	Na Tarkirze po zwycięstwie Dromoki ainokowie z dawnych domów Abzanu służą w jej armii. Artylerzysta z rodu Ainok obsługuje balistę zbudowaną z drewna świętych gajów. Drzewa przodków, niegdyś czczone przez Abzan, teraz dostarczają materiału na broń przeciw smokom. Sarkhan Vol patrzy na te machiny i wspomina Tarkir, który znał przed zmianą czasu.
322	Na Therosie po nocnej zabawie w Skotios pierwszy satyr budzi się przed innymi. Przewodnik z plemienia Xenagosa rozkłada mapę i szuka miejsca na kolejny revel. Rozgarnia ziemię i odsłania cztery znaki, z których wybiera tylko ten wskazujący źródło. Resztę znaków odrzuca w cień, by nikt nie podążył złą ścieżką.
323	
324	
325	
326	Nad Kociołkami Mirrodinu Bone Shredder unosi się na fioletowych błonach niesiony prądem z rdzenia. W chwytaku niesie jasny fragment zebrany z porzuconej konstrukcji myr pozostawionej przez Karna. Nadzorcy z pieców wysyłają go, by usuwał istoty nie niosące znaku Phyrexii zgodnie z wolą Yawgmotha. Gdy opada, echo jego obecności odbija się w metalowych ścianach, zanim maszyna zamilknie.
327	
328	
329	
330	Na Kaldheimie podczas Doomskaru otwiera się Omenpath między krainami. Olbrzymy z mroźnych rubieży wkraczają na równinę Feltmark w Bretagardzie. Klan Beskir pod wodzą Sigrid zbiera tarcze przy Beskir Hall. Inwazja zostaje zapisana w sadze, którą skaldowie śpiewają przy ogniskach od Aldergardu po wybrzeże.
331	W dziupli Vitu-Ghazi w sercu Ravnicy stoją trzy siostry Trostani, Oba, Ses i Cim, połączone u podstawy, lecz zwrócone w trzy różne strony. Ses patrzy w stronę Wielkiej Alei, gdzie zbiera się Senat Azorius, Oba unosi wzrok ku koronie drzewa Mat'Selesnyi, a Cim opuszcza głowę ku korzeniom. Obok nich na kamiennym bruku stoją dwaj żołnierze Selesnyi w białych płaszczach, każdy trzyma włócznię z liściastym grotem i stoi bliżej innej siostry. Liście opadają między nimi, a światło z góry dzieli ich sylwetki, gdy Konklawe czeka na głos, który nie potrafi zabrzmieć jednym tonem.
332	
333	
334	
335	Na placu gotyckiego miasteczka Innistradu tuż przed nadejściem burzy stoi drewniana tablica ogłoszeń i masywny dzwon alarmowy na belkowanej konstrukcji. Przy tablicy miejski kapitan straży w płaszczu i trójgraniastym kapeluszu trzyma rozwinięty zwój, wskazując na mapę miasta przypiętą do desek. Wokół niego zbiera się tłum mieszczan: piekarz w fartuchu, kowal z rękawicami, rybak, młoda kobieta z koszem, starszy mężczyzna z laską — dwie osoby właśnie dołączają z pośpiechem, twarze zatroskane, ale zdecydowane. Na Innistradzie zebranie mieszczan nie jest uroczystością — to ostatni moment przed zamknięciem okiennic, a kto nie stawi się przed dzwonem, nie zasiądzie jutro do wspólnego stołu.
336	
337	Na skalistej jasnej grani wzgórza Theros stoi ludzki hoplita w brązowo-złotym kirysie, ze skórzanymi pasami i nagolennikami, na głowie hełm z grzebieniem. W lewej ręce trzyma wielką wypukłą tarczę w kształcie migdała z centralnym symbolem słońca — w tarczę uderza bardzo silny promień światła, który odbija się w stronę przeciwnika jako klin jasnych, biało-złotych smug. Na ziemi po prawej stronie sylwetka wrogiego wojownika w półobrocie zasłania twarz dłonią, oślepiona odbitym blaskiem. W Meletisie tarczownicy Helioda walczą nie siłą ramienia, lecz cierpliwością — czekają, aż słońce stanie po ich stronie, i w tej jednej chwili tarcza staje się ostrzem ostrzejszym niż każdy miecz.
338	
339	W bogatej renesansowej galerii sztuki w Waterdeep, w długim eleganckim korytarzu z czerwonymi ścianami i złotymi listwami, idzie młoda smocza arystokratka-dragonborn w przesadnie wystawnej różowej sukni z gorsetem, falbanami i białymi koronkami, w szerokim kapeluszu z piórami. Jej łuskowata twarz o zadartym nosie wyraża zadowolenie, w jednej dłoni trzyma ciężką złoconą ramę obrazu, jakby właśnie zdjęła ją ze ściany; druga dłoń unosi się w geście mecenasa. W niszach wokół marmurowe rzeźby, na ścianach kolejne obrazy w złoconych ramach. W Waterdeep patronat sztuki nie polega na kupowaniu — polega na zabieraniu tego, co chce się zabrać, za odpowiednią cenę, a dragonborn z klanu kupieckiego wie, że kolekcja jest dopiero wtedy kompletna, gdy trzy następne ramy wiszą już na jej ścianie.
340	
341	
342	W bagiennej dolinie Naya-Jund pogranicza Alary, w podmokłym terenie pełnym czarnej wody, mchów i porzuconych fragmentów obozowiska, wynurza się ogromny wurm o grubym wężowatym ciele w rdzawo-brązowej barwie, pokrytym chropowatą łuską. Jego masywna głowa z kościaną jasnoszarą maską-pancerzem wieńczona jest zakrzywionymi kolcami jak korona, a paszcza rozwarta ukazuje rząd zębów i ciemne wnętrze. Ciało układa się w wielką literę S, oplatając kępę mchu i wystające korzenie. Na Alarze bagienne wurmy pograniczy Naya nie polują na stada — polują na obozy, a pokazują się dopiero wtedy, gdy już połknęły jeden z namiotów, by kolejny mieszkaniec mógł je zobaczyć z wewnątrz paszczy.
343	W cienistych gęstwinach doliny Glen Elendra, gdzie wieczny mrok Shadowmoor zniekształca dawne piękno, śmierć rzadko gwarantuje ostateczny spoczynek. Trzy faerie ze złośliwego roju unoszą się nad martwym kithkińskim pogranicznikiem z Safehold, tkając wokół jego ociężałych stawów niewidzialne nici ze świetlistego jedwabiu. Ołowiana, pokryta mchem zbroja cicho zgrzyta, gdy małe dłonie latających tkaczy zmuszają potężne ramiona poległego do ponownego chwycenia za oręż. Choć ciało wojownika jest jedynie bezwolną lalką, jego powrót na pole bitwy w imię kaprysów Królowej Oony niesie fizyczne i psychiczne zniszczenie w szeregach jego dawnych sojuszników.
344	Na skalistej arenie The Edge z czerwonobrązową ziemią i pęknięciami w kamiennych płytach stoi masywny wojownik kavu — potężna humanoidalna istota o gadziej oliwkowej skórze i jaskrawo-niebieskich wyrostkach przypominających kolce na głowie i podbródku. Ubrany w ciężką segmentową zbroję płytową w kolorach rdzy i pomarańczu, w dłoniach dzierży parę zakrzywionych ostrzy świecących neonową zielenią. Unosi je krzyżowo, a z miejsca kontaktu wybucha fala czerwonej energii rozchodząca się we wszystkie strony — nie uderzenie w jednego wroga, lecz krąg bólu obejmujący całą arenę. Na The Edge Kombinat Uthros uczy swoich wojowników, że ból dystrybuowany równo to najuczciwsza forma walki, a kavu-mistrz nie pyta, kto jest sojusznikiem — jego ostrza tego nie rozróżniają.
345	W sterylnych, przypominających żebra korytarzach Aneksu na zrujnowanym Mirrodinie, kapłan Izathel w ciszy podziwia swoje najnowsze arcydzieło. Zaprojektowany do błyskawicznej eliminacji heretyków legionista zeskakuje z heksagonalnych sklepień z gracją całkowicie przeczącą jego biomechanicznej, zabójczej naturze. Jego lśniący, perłowobiały pancerz, wyhodowany ze spreparowanych tkanek niewiernych, zapewnia maszynie niesamowitą lekkość i bezwładność przy każdym ciosie. Zanim ocalali z oporu zdążą w ogóle podnieść swój oręż, asymetryczne ostrza Ortodoksji Maszyn bezszelestnie przecinają chłodne powietrze bazyliki, wymierzając ostateczną wolę Elesh Norn.
346	Na Mirrodinie po zwycięstwie Phyrexii komory lęgowe Seedcore produkują nowe formy życia. Necrosquito rodzi się z dwoma kroplami oleju w odwłoku. Gdy inny konstruktor lub artefakt upada, owad zbiera wyciek i rośnie. Każdy poległy Mirranin karmi rój, a rój niesie compleation dalej.
347	We wnętrzu sterylnej białej kuźni-świątyni na Mirrodinie, z gładkimi metalowymi ścianami i mlecznobiałym światłem padającym z góry jak z oculusu, unosi się w powietrzu czysty talizman — niewielki symetryczny artefakt z perłowego metalu złożony z wygiętych segmentów tworzących zamknięty obły kształt. W jego wnętrzu ciemniejszy owalny rdzeń jak polerowany obsydian, a wokół talizmanu krążą bardzo cienkie białe linie energii tworzące stabilne pole mocy. Pod artefaktem na posadzce świetlisty symbol czterech kolorów zbiegający się w jeden — harmonijny punkt równowagi. W Nowej Phyrexii większość artefaktów infekuje lub zjada — Pristine Talisman robi coś przeciwnego, leczy tego, kto go dotknie, bo ktoś w ruchu oporu Mirran jeszcze pamięta, jak wygląda metal, który nie kłamie.
348	
349	Na rozległej pustyni o barwie bladego różu i piaskowego złota, gdzie wiatr tnie powierzchnię wydm, z piasku wynurza się sliver — obca segmentowana istota o wijącym się ciele w kolorach kości słoniowej i szarości, z ostrymi haczykowatymi kończynami i cienkimi wyrostkami na głowie. Przednie kończyny wbite w piasek jak kotwice, tułów uniesiony, ogon zatopiony w wydmie; na pancerzu widoczne są zgrubienia i narastające warstwy płytek — pancerz pogrubia się z każdym cyklem. W dalszym planie inne slivery w różnych odległościach, częściowo zasypane piaskiem, wszystkie w spokojnej pozie przetrwania. Na Dominarii po kryzysie Szczelin slivery nauczyły się, że agresja nie jest potrzebna — wystarczy trwać, a ziemia sama zacznie rodzić następne pokolenie na nie.
350	
351	
352	W podziemnym sanktuarium na Dominarii, ukrytym przed wojną Urzy i Mishry, Ewangelista Syntezy udziela błogosławieństwa metalu i oleju. Klęczący przed nim akolita przyjmuje święty dar Gixa, czując, jak jego słabe ciało ustępuje miejsca doskonałej, mechanicznej formie. Krople lśniącego oleju spływają z palców Ewangelisty, pieczętując pakt i rozpoczynając nieodwracalną transformację, która jest pierwszym szeptem nadchodzącej ery Phyrexii. Dla zgromadzonych kultystów nie jest to akt zniszczenia, lecz narodziny—prawdziwa synteza tego, co boskie i tego, co śmiertelne.
353	
354	W wielkiej sali biesiadnej na mrocznym fragmencie Alary, przy długim stole z ciemnymi kotarami i przyćmionym światłem świec, na końcu siedzi Sedris — sylwetka w koronie i ciężkim płaszczu, twarz w cieniu, dłoń wyciągnięta nad stołem w geście wyroku. Nad środkiem blatu unosi się eteryczny symbol wagi — dwie szalki ze świetlistych linii, na jednej kilka znaków reprezentujących istoty, na drugiej tylko jeden, najsłabszy, wyraźnie podświetlony. Na blacie pod tym znakiem stoi drobna przestraszona istota otoczona pierścieniem czarnej poświaty, z której spływa ku niej smuga ciemnej energii — postać zaczyna rozpadać się w ciemne cząstki. Na Grixis biesiada Sedrisa nie jest ucztą — jest sądem, w którym zdradzieckiemu władcy wystarczy jeden gest, by najsłabszy przy stole przestał istnieć między zupą a deserem.
355	W tajnym warsztacie renegatów, głęboko w trzewiach Ghirapuru, Pia Nalaar wreszcie odnajduje swoją córkę, Chandrę. Na stole roboczym Chandra porzuca ciężar przeszłości — swoją zbroję i pamiątki po latach samotności, które do tej pory definiowały jej gniew. Zamiast nich, matka pokazuje jej nową drogę, przyszłość zaklętą w planach rebelii i lśniącym eterem wynalazku, który mają zbudować razem. W tym cichym spotkaniu lata rozłąki i fałszywych przekonań znikają, zastąpione obietnicą wspólnej walki o wolność dla całego Kaladesh.
356	
357	
358	Na skalistym grzbiecie The Edge pod kosmicznym ciemnym niebem z gwiazdami i wielkim płonącym pierścieniem energii w kolorach pomarańczu stoi kavu-żołnierz — masywna baryłkowata sylwetka o łuskowatej skórze i kostnej kryzie wokół szyi z zachodzących na siebie jasnych płytek. Na czubku głowy biegnie grzebień z turkusowych piór skierowanych do tyłu, na ciele ciężki czerwono-miedziany pancerz; trzyma nad głową długą broń drzewcową z trójzębnym grotem świecącym zielonkawo. Za nim dwaj inni kavu zmęczeni wysiłkiem — jeden klęczy oparty o trzonek broni, drugi pochylony na tarczy — a nad barkami głównego kavu trzy świetliste żółto-pomarańczowe znaki tworzą łuk. Frontline War-Rager Kombinatu zbiera na siebie ciosy, które miały spaść na towarzyszy — na The Edge jest tam, gdzie linia jest najcieńsza, bo wie, że jego kryza zniesie więcej niż czyjaś szyja.
359	
360	W ciasnej pracowni naukowej akademii, na ciężkim drewnianym biurku zawalonym mapami nieba i mosiężnymi przyrządami alchemicznymi, siedzi w głębokim fotelu starszy uczony z krótką siwą brodą w grubym oliwkowym dublecie z aksamitnymi wstawkami. Oczy szeroko otwarte, na twarzy maluje się nagłe zrozumienie, głowa uniesiona lekko w górę. Na wysokości jego wzroku unoszą się dwa prostokątne arkusze pergaminu świecące wewnętrznym błękitnym światłem, a przed nimi porusza się sterczące pionowo ptasie pióro, które samo zapisuje runiczne znaki. W Oxenfurcie inspiracja nie zawsze wygląda jak zaklęcie — czasem jest po prostu chwilą, w której pióro samo wie, co napisać, a uczony wie, że przez najbliższe sześć godzin nie może mu przeszkadzać.
361	
362	W porzuconej strefie warsztatowo-wykopaliskowej w lesie Argoth, pośród popękanych płyt i przewróconych metalowych rusztowań, z zapadniętej wnęki wydobywa się mechaniczny małpi konstrukt — artefaktowa istota o długich ramionach, zgarbionym torsie i masywnych dłoniach. Pancerz segmentowy w odcieniach stali i turkusu, głowa gładka z okrągłą biało-niebieską soczewką sensoryczną, przedramiona zamiast dłoni zakończone wydłużonymi narzędziami konstrukcyjnymi. Po lewej stoi większy sprzymierzony automat-strażnik, a małpi konstrukt kieruje ku niemu dwa strumienie zielonkawej energii — na napierśniku automatu osiadają dwie małe świetliste płytki jako nowe moduły wzmocnienia. W Wojnie Braci Urza i Mishra zostawili na Argoth dziesiątki takich warsztatów — niektóre konstrukty nie zgasły po upadku swoich twórców, a nocami wciąż łatają siebie nawzajem, nie wiedząc, że wojna się skończyła.
363	
364	
365	
366	Na jasnej polanie Lorwyn u podnóża wysokiego wapiennego klifu, wśród trawy i białych kwiatów z trzema smukłymi menhirami w tle, po lewej stoi elficki wojownik w dopasowanej zielonej zbroi z liściastymi ornamentami, trzymający oburącz włócznię na wysokości torsu. Wokół jego przedramion i grotu świeci szmaragdowa aura w postaci symetrycznych liściastych znaków zebranych w jeden punkt na końcówce broni. Po prawej kamienno-korzenny strażnik o sylwetce drapieżnego zwierzęcia, zbudowany z płyt skalnych i mchu, z pyska wystają zęby — w miejscu kontaktu ostrej smugi zielonej energii powstaje jasny rozbłysk, a z jego barków odrywają się świetliste zielone liście-iskry. W Lorwyn elfowie nie walczą brzydko — każdy ich cios jest perfekcyjnie uformowany jak liść, a kamienne bestie dzikich krain zostawiają w trawie tylko to, co zgubiły.
367	W nocnym zniszczonym zagajniku Zendikaru gobliński szaman o drobnej żylastej sylwetce tańczy na kamieniu, z jednym kolanem uniesionym wysoko. W jednej łapce trzyma dużą grzechotkę z drewnianego trzonka, sznurków, miedzianych kółek, wysuszonych strąków i dzwoneczków — wokół niej rozchodzą się czerwono-pomarańczowe smugi dźwięku jako faliste linie. Po lewej stoi sprzymierzony ludzki zwiadowca w skórzanej zbroi z włócznią — pod wpływem rytmu prostuje się, a wokół jego klatki piersiowej pojawia się krótka intensywna aura rozżarzonej czerwieni. Nad drzewami w tle unoszą się lewitujące kamienne odłamki i kanciaste hedrony pod dziwnymi kątami — na Zendikarze gobliński szaman nie leczy ran tańcem, tylko pompuje w sojuszników furię, której starczy na uderzenie silniejsze, niż wskazuje na to ich własna miara siły.
368	
369	
370	W regionie Mephidross na Mirrodinie, w metalicznym bagnie z czarną oleistą wodą i poskręcanymi drzewami z żelaza i ciemnego mycosynthu, stoi samotny czarnoksiężnik w długim ciemnym płaszczu z kapturem. Jedną dłoń wyciąga do przodu, drugą trzyma przy piersi przy amulecie z obsydianowym oczkiem — z wyciągniętej dłoni wychodzą liczne wstęgi zielonkawo-czarnej energii oplatające półprzezroczystą sylwetkę humanoida na brzegu bagna. Z tej mlecznej aury odrywają się świetliste punkty płynące wzdłuż pasm energii do czarnoksiężnika i zbierające się w jego amulecie, który rozjaśnia się od środka. Na Mirrodinie nekromanci Mephidross nie potrzebują ciał — wystarczy dusza, którą można wycisnąć na kropelkach, a każda przedłuży ich własne życie o tyle, ile w tej ofierze było jeszcze do wypicia.
371	
372	Na skalistym płaskowyżu Tarkiru, w pobliżu ruin dawnego smoczego sanktuarium, na niskim kamiennym postumencie spoczywa relikwia w kształcie wielkiej skamieniałej smoczej szczęki — dwa łuki żuchwy z jasnoszarego kamienno-kościstego materiału z długimi zakrzywionymi zębami tworzącymi okrągły pierścień. Na zębach osadzone złote obejmy z zielonymi i turkusowymi kamieniami, a wokół postumentu wyryty krąg runiczny z pięcioma znakami w kolorach pięciu klanów. Trzech wojowników z różnych klanów dotyka relikwii — nad pierścieniem zbiegają się trzy strumienie energii tworzące wirującą kulę światła, z której zaczyna formować się półprzezroczysty zarys smoka z warstw pięciobarwnego blasku. Na Tarkirze po powrocie smoków ich relikwie przestały być pamiątkami — stały się bramami, a pięć klanów musi wrócić razem do jednego postumentu, by przywołać jednego praojca.
373	W sypialni na opustoszałych przedmieściach Duskmourn, manifestacja czystego strachu narusza cienką barierę między snem a jawą. Z pustego łóżka unosi się jeszcze echo strachu dziecka, które stało się ofiarą-kotwicą, by przywołać ten koszmar do istnienia. Teraz, zrodzony z tego lęku byt unosi wrogiego żołnierza ku wirującemu w suficie obliczu, wciągając go w nicość, z której nie ma powrotu na pole bitwy. Gdy koszmar wreszcie przeminie, obie porwane dusze powrócą, lecz odmienione tym doświadczeniem, na zawsze naznaczone wspomnieniem uprowadzenia.
374	Na leśnej polanie Bloomburrow w południowym świetle stoi antropomorficzna mysz-bard w podróżnym stroju sceniczno-awanturniczym — skórzany kaftan, krótki płaszcz, mała peleryna, czerwony szalik. Trzyma w łapie smyczek i niewielkie skrzypce, gra w ruchu jakby prowadziła marsz, a za nią idzie kilku innych mysich muzyków z bębnem, fujarką i lutnią w kroku marszowym. Z instrumentu centralnej myszy wychodzi fala złotego światła i nut w postaci cienkich linii docierająca do latarni-sygnału na skraju polany, która rozbłyskuje jaśniej — muzyka reaktywuje znaki szlaku. W Bloomburrow mysia trupa Thistledown nie walczy mieczami — rozstawia przyjaciół, dzwonki i latarnie tak, żeby cały las usłyszał, że maszerują, a reszta zwierząt po prostu zeszła im z drogi.
375	Mroczna Puszcza, niegdyś zwana Wielkim Zielonym Lasem, dusi się w cieniu rzuconym przez twierdzę Dol Guldur. Nawet posłańcy Manwëgo, Wielkie Orły z Gór Mglistych, nie są bezpieczni pod jej splątanym sklepieniem, gdzie najmniejsze ukąszenie oznacza koniec. Bezgłośnie, na pojedynczej nici, jeden z potomków Szeloby opuszcza się ze swojego ukrycia, by zabezpieczyć zdobycz schwytaną w locie. Jego jad działa szybko, a pająk nie spieszy się, wiedząc, że las jest jego sprzymierzeńcem i nikt nie usłyszy ostatnich uderzeń potężnych skrzydeł.
376	W głębi Ulvenwaldu, na ścieżce wiodącej z ruin Avabruck w stronę odległej Lambholt, młody odszczepieniec z kessigskiej wioski podnosi się z mokrych klonowych liści, w które jeszcze niedawno upadł — lecz ciało, które teraz dźwiga się z błota, jest dwukrotnie cięższe od tego, które tam padło. Pośmiertne nabrzmienie rozsadziło szwy chłopskiej koszuli i wykrzywiło kamizelkę, a opuchnięte dłonie nie mieszczą się już w starych rękawicach pozostawionych obok latarni. Tuż przy nim leży zerwany srebrny amulet z czaplą Avacyn — ten sam, który miał go ochronić przed howlpackiem Krallenhorde, którego ślady prowadzą teraz w głąb mgły. Daleko między pniami brzóz, rozmyty welonem mgły, oddala się rząd pomarańczowych pochodni karawany, której nie zdążył dogonić — i która jutrzejszego ranka spotka coś znacznie groźniejszego niż człowiek, który ich opuścił.
377	We wnętrzu jasnej kamiennej kaplicy na Innistradzie w czasach Odrodzonej Wiary, na ołtarzu z jasnego kamienia leży rozwinięty zwój z grubej kremowej skóry pergaminowej, zakończony wałkami z ciemnego srebra z grawerowanymi spiralami i symbolami księżyca. Na pergaminie równe linie kaligrafii i dwa stylizowane białe anielskie wizerunki po bokach tekstu, a nad zwojem unosi się subtelna złotobiała poświata, a z liter pergaminu wydobywają się drobne świetlne punkty układające się w spiralę. Po prawej dłoń skryby w białej rękawicy trzyma pióro, przez wysokie witrażowe okno wpada promień światła padający dokładnie na zwój — w szkle fragment skrzydła i aureoli Avacyn. W Thraben kapłani nie czytają zwoju Avacyn raz — czytają go codziennie, bo każde odczytanie odnawia linię, która rysuje granicę między światłem nocy a tym, co za nią chodzi.
378	
379	Wysoko nad ulicami Nowej Capenny, na szerokim kamiennym balkonie łączącym wieżowce art déco, właśnie ląduje gwałtownie ptasi obywatel — humanoidalna postać z dużymi ciemnymi skrzydłami i ptasią głową z krótkim dziobem, w eleganckim dopasowanym garniturze z kamizelką. Jedno kolano ugięte, drugie wyciągnięte, skrzydła szeroko rozpostarte dla hamowania, w lewej dłoni mała okrągła tarcza-emblemat, z której powstaje półprzezroczysta jasnoniebieska bariera energii osłaniająca go od boku. Przed tarczą rozpryskuje się smuga energii lecąca z prawej strony, a za ptasim obrońcą przy balustradzie kuli się ludzka cywilka w jasnym płaszczu, zasłaniając głowę rękami. W Nowej Capennie rodzina Brokers wynajmuje takich strażników niczym doradców prawnych — ich tarcza jest jednorazowa, ale za jedno uderzenie zaoszczędza klientowi tyle, co roczne honorarium.
380	
381	Na nocnym leśnym trakcie Innistradu, w wąskim wąwozie między ciemnymi skałami, strażnik karawany w kapturze i skórzanym płaszczu klęczy przy ziemi w świetle zawieszonej latarni; w dłoniach trzyma rozwiniętą mapę szlaku i mały kompas. Obok na ziemi leży kamień milowy z wyrytym symbolem podstawowej krainy, a strażnik wskazuje go palcem, ustalając właściwy kierunek. W średnim planie karawana w ruchu — wóz z płóciennymi pałąkami, zaprzęg konny, dwie sylwetki wędrowców — a porzucony hełm i złamana włócznia w trawie obok świadczą, że ktoś tu niedawno zaginął. W Kessig noc na trakcie jest egzaminem z pamięci — ten, kto zapomniał, który kamień milowy prowadzi do wioski, nie dożyje momentu, w którym mógłby się zapytać kolejnego podróżnika.
382	W niezbadanych głębinach Ixalanu każde uderzenie kilofa może odsłonić więcej niż tylko rzadkie minerały, a prawdziwy rzemieślnik potrafi odczytać historię zapisaną w kamieniu. Rzemieślniczka z Imperium Słońca, badając żyłę pulsującego kosmium, odkrywa, że skała jest jedynie naczyniem dla znacznie starszej mocy. Pęknięty kryształ uwalnia uwięzioną w nim magię, która przybiera formę zapomnianego strażnika jaskini, gotowego służyć swojemu odkrywcy. W sercu tego świata największe skarby nie są wydobywane, lecz odkrywane.
383	Na kamiennym tarasie grobowca w Amonkhecie, pod ciemnofioletowym niebem i bladym światłem gwiazd, stoi wojownik w pasach lnu i lekkich elementach zbroi z szerokim kołnierzem i amuletami, twarz częściowo zasłonięta opaską. Jest w półkroku do przodu z uniesioną bronią, a wokół jego ramion i klatki piersiowej pojawia się aura czarnej i niebieskawej energii — dwie błękitne smugi jak płomienie owijają przedramiona, na piersi świeci symbol stylizowanej dłoni Bontu. Z ziemi pod stopami wznosi się krąg czarnej mgły, a tuż za jego plecami półprzezroczysty drugi obraz tej samej postaci stoi o pół kroku niżej — zapasowe odbicie gotowe zająć miejsce. Na Amonkhecie Bontu nie obiecywał zmartwychwstania — obiecywał jeszcze jeden cios po śmierci, a jego dar wystarcza dokładnie na tę chwilę, którą wojownik chciał mieć więcej.
